,sentence,option1,option2,qID
0,Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.,Ian,Dennis,3QHITW7OYO7Q6B6ISU2UMJB84ZLAQE-2
1,Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.,Ian,Dennis,3QHITW7OYO7Q6B6ISU2UMJB84ZLAQE-1
2,"He never comes to my home, but I always go to his house because the _ is smaller.",home,house,3XWUWJ18TLO2DDRXF83QWLKRJ29UU4-1
3,"He never comes to my home, but I always go to his house because the _ is bigger.",home,house,3XWUWJ18TLO2DDRXF83QWLKRJ29UU4-2
4,The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was empty.,safe,trolley,304QEQWKZRY6EBUR5DPX06S39IH0OJ-2
5,The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was full.,safe,trolley,304QEQWKZRY6EBUR5DPX06S39IH0OJ-1
6,I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I stored the _ for now.,raisins,peanuts,3NRZ1LDP7W4677DB493437C7D3WZP2-2
7,I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I ate the _ for now.,raisins,peanuts,3NRZ1LDP7W4677DB493437C7D3WZP2-1
12,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was immune to allergies.",Elena,Tanya,3R6RZGK0XHQY1QZ9EXMKNQGVHU3YV6-2
13,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was susceptible to allergies.",Elena,Tanya,3R6RZGK0XHQY1QZ9EXMKNQGVHU3YV6-1
16,Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big diamond.,Natalie,Betty,3MDKGGG61QL2BPM7JLFDBJK9SLJ6TJ-2
17,Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big emerald.,Natalie,Betty,3MDKGGG61QL2BPM7JLFDBJK9SLJ6TJ-1
18,"Kyle was more comfortable speaking in front of large groups than Nick, because _ had taken public speaking courses in college.",Kyle,Nick,3P4ZBJFX2XH5GOIJZHZSK7STICEFW3-1
19,"Kyle was more comfortable speaking in front of large groups than Nick, because _ was not able to take public speaking courses in college.",Kyle,Nick,3P4ZBJFX2XH5GOIJZHZSK7STICEFW3-2
20,In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very hesitant with showing their body.,Emily,Felicia,34OWYT6U3WFZKU8UNGJLHM92CQ3I9S-2
21,In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very free with showing their body.,Emily,Felicia,34OWYT6U3WFZKU8UNGJLHM92CQ3I9S-1
24,Nick had a bigger dog than Craig because _ fed their dog much more food.,Nick,Craig,3J94SKDEKINZBWQWSC5TE9ONT9BD5S-1
25,Nick had a smaller dog than Craig because _ fed their dog much more food.,Nick,Craig,3J94SKDEKINZBWQWSC5TE9ONT9BD5S-2
26,The contract could not be drafted at the business during that day because the _ was too small to care about.,contract,business,3WRBLBQ2GTMIMYDTHUCPVXJ2JTP0GS-1
27,The contract could not be drafted at the business during that day because the _ was too big to care about it.,contract,business,3WRBLBQ2GTMIMYDTHUCPVXJ2JTP0GS-2
30,"Brian had a large collection of coins that Kevin really admired, so _ asked him for some duplicates.",Brian,Kevin,3B6F54KMR2A6P38VOFY66IX6ND11SG-2
31,"Brian had a large collection of coins that Kevin really admired, so _ offered him some duplicates.",Brian,Kevin,3B6F54KMR2A6P38VOFY66IX6ND11SG-1
34,"Neil agreed to help wash Adam's large dog, and _ was very eager to help.",Neil,Adam,3ZQX1VYFTD392B0NGJQC1NAD4V4O8S-1
35,"Neil agreed to help wash Adam's large dog, and _ was very grateful for the help.",Neil,Adam,3ZQX1VYFTD392B0NGJQC1NAD4V4O8S-2
40,John cared for the pot while it was being transported in the box but it eventually got broken. The _ is hard.,pot,box,38Z7YZ2SB5GK6IONOG67VFN0CNPIQ1-2
41,John cared for the pot while it was being transported in the box but it eventually got broken. The _ is fragile.,pot,box,38Z7YZ2SB5GK6IONOG67VFN0CNPIQ1-1
42,Lawrence made a bowl at the pottery store and Randy accidentally broke it. _ decided to make another.,Lawrence,Randy,30Y6N4AHYRA3A8N19HUW98HSF1TDRY-1
43,Lawrence made a bowl at the pottery store and Randy accidentally broke it. _ offered to make another.,Lawrence,Randy,30Y6N4AHYRA3A8N19HUW98HSF1TDRY-2
48,"The theraband that Jill purchased for herself would not fit around her leg, the _ was too wide.",theraband,leg,39AYGO6AFFI4GCHNMPT12KEH8NL6NF-2
49,"The theraband that Jill purchased for herself would not fit around her leg, the _ was too narrow.",theraband,leg,39AYGO6AFFI4GCHNMPT12KEH8NL6NF-1
56,"Jessica often experiences severe nausea, Victoria does not therefore _ often rides big roller coasters.",Jessica,Victoria,38DCH97KHH01749MM0F7FIERULOJQA-2
57,"Adam adored his grandmother, William.  _ got a big surprise with a trip to Europe.",Adam,William,31S7M7DAGI4ZOZOLQNXFS0QEB4XTLR-2
60,Emptying the litter box was a dreaded chore for Adam while Lawrence didn't mind doing it. _ never tried to get someone else to handle it.,Adam,Lawrence,35U0MRQMUJ57DNW0OC1MT1ULA7DOVS-2
61,Emptying the litter box was a dreaded chore for Adam while Lawrence didn't mind doing it. _ always tried to get someone else to handle it.,Adam,Lawrence,35U0MRQMUJ57DNW0OC1MT1ULA7DOVS-1
64,The gathered  stones in the bag outweigh the collected coins because the _ are small in numbers.,stones,coins,3G3AJKPCXN6Z7DGUU1LXE0GI4024YC-2
65,The gathered stones in the bag outweigh the collected coins because the _ are much in numbers.,stones,coins,3G3AJKPCXN6Z7DGUU1LXE0GI4024YC-1
66,"Eating sweets was a big problem for Carrie but not for Rebecca, thats why _ has a small waistline.",Carrie,Rebecca,3K8CQCU3KEZ2ARWTD7650EDUR71WNO-2
67,"Eating sweets was a big problem for Carrie but not for Rebecca, thats why _ has a large waistline.",Carrie,Rebecca,3K8CQCU3KEZ2ARWTD7650EDUR71WNO-1
70,Katrina loves the taste of lettuce but Angela doesn't. _ ordered a big salad for dinner.,Katrina,Angela,3PCPFX4U40OL22NQ3AOM0KMZ1DNFQH-1
71,Katrina loves the taste of lettuce but Angela doesn't. _ ordered a big steak for dinner.,Katrina,Angela,3PCPFX4U40OL22NQ3AOM0KMZ1DNFQH-2
74,She was never able to use lash curlers on her lashes because the _ are too large.,lashes,curlers,3KQC8JMJGE6S3M71KNCQIVT908NH37-2
75,He found he had baking powder for the cake but borrowed baking soda from his neighbor since the _ was full.,soda,powder,3VADEH0UHEBO0KQ4TFLWZC3DGTESPT-2
76,He found he had baking powder for the cake but borrowed baking soda from his neighbor since the _ was empty.,soda,powder,3VADEH0UHEBO0KQ4TFLWZC3DGTESPT-1
77,"Jason was bald, but Hunter had a full head of hair, so _ had no need to buy hair gel.",Jason,Hunter,3OEWW2KGQJ9LJ6WEXR1SNFOEAZPDOW-1
78,"Jason was bald, but Hunter had a full head of hair, so _ needed to buy hair gel.",Jason,Hunter,3OEWW2KGQJ9LJ6WEXR1SNFOEAZPDOW-2
82,"She wanted to make a toilet paper roll butterfly by using the roll's tube and paint, but was unable to finish because the _ was too large.",paint,tube,31GN6YMHLR6EKTN551ZRR6B98MFSWD-2
83,Jennifer liked to smoke pot but Laura like to smoke cigars. _ wound up in the local jail for smoking their favorite thing in public.,Jennifer,Laura,35ZRNT9RUKC2V3TOO07G24QACWE3OY-1
84,Jennifer liked to smoke pot but Laura like to smoke cigars. _ avoided the local jail for smoking their favorite thing in public.,Jennifer,Laura,35ZRNT9RUKC2V3TOO07G24QACWE3OY-2
85,Michael had to dispose of his water before entering unlike Eric because _ cup was empty.,Michael,Eric,3FO95NVK5EE9CX6J67PL473RF3HSRG-2
86,Michael had to dispose of his water before entering unlike Eric because _ cup was full.,Michael,Eric,3FO95NVK5EE9CX6J67PL473RF3HSRG-1
87,Dennis backed Nelson into the small corner during the heated argument because _ was submissive.,Dennis,Nelson,35YHTYFL1IHS1ZIE97UWY59FBTRVF4-2
88,Dennis backed Nelson into the small corner during the heated argument because _ was dominant.,Dennis,Nelson,35YHTYFL1IHS1ZIE97UWY59FBTRVF4-1
94,The seamstress wanted to sew the button on the collar of the coat but the _ was too big.,collar,button,3NSM4HLQNRSITRDZHQZGCJQDDWSQQL-2
95,The seamstress wanted to sew the button on the collar of the coat but the _ was too small.,collar,button,3NSM4HLQNRSITRDZHQZGCJQDDWSQQL-1
96,"At dinner, Steven was starving but Ian was already full, so _ ate the pizza slowly.",Steven,Ian,3MWOYZD5WX29Z7MY6JRVBIOGHH3NO4-2
97,"At dinner, Steven was starving but Ian was already full, so _ ate the pizza quickly.",Steven,Ian,3MWOYZD5WX29Z7MY6JRVBIOGHH3NO4-1
98,Randy went to an ice cream shop because he had a coupon and met Michael there. _ paid full price.,Randy,Michael,3I6NF2WGIIAHH5ZUE0I1CSFSZ8A5G3-2
103,"Samantha was generally faster at running than Jessica, so it was surprising when _ lost the race by a large margin.",Samantha,Jessica,3UZUVSO3P7T2B9P2G6XZ1THUFBBEMB-1
104,"Samantha was generally faster at running than Jessica, so it was surprising when _ won the race by a large margin.",Samantha,Jessica,3UZUVSO3P7T2B9P2G6XZ1THUFBBEMB-2
107,"She was able to find a fact about the plate, but not about the cup, because the _ was obscure.",plate,cup,372AGES0I432EPTBGJJ8BHWB6NMRXT-2
108,"She was able to find a fact about the plate, but not about the cup, because the _ was ubiquitous.",plate,cup,372AGES0I432EPTBGJJ8BHWB6NMRXT-1
109,"The repairman wanted to fix the engines by using a new oil pan and water pump, but the _ lacked oil.",pan,pump,388CL5C1RJLUP1YJ6V4QMJZIC78HLY-1
110,"The repairman wanted to fix the engines by using a new oil pan and water pump, but the _ had water leaks.",pan,pump,388CL5C1RJLUP1YJ6V4QMJZIC78HLY-2
115,"Because Lindsey liked to go camping more than Natalie, _ found owning a sleeping bag was essential.",Lindsey,Natalie,3TKSOBLOHNUNF48SZOH0E3ONT3JBBW-1
116,"Because Lindsey liked to go camping more than Natalie, _ didn't believe owning a sleeping bag was essential.",Lindsey,Natalie,3TKSOBLOHNUNF48SZOH0E3ONT3JBBW-2
119,Jay washed the glass bowl instead of the plate because the _ was very clean.,bowl,plate,32204AGAABAE39KIV47A9RUAGPQGHT-2
120,Jay washed the glass bowl instead of the plate because the _ was very dirty.,bowl,plate,32204AGAABAE39KIV47A9RUAGPQGHT-1
121,The vegetable wasn't cooking fast enough in the water with fire because the _ was too small.,water,fire,3IH9TRB0FDDWPE4631GSUEFS4DJI1W-2
130,"The cook could safely touch the pot, but had to wait on the pan, because the _ was hot.",pot,pan,3BFF0DJK8ZQMSCJBAWUG4M4A5XQTSS-2
131,"The cook could safely touch the pot, but had to wait on the pan, because the _ was cold.",pot,pan,3BFF0DJK8ZQMSCJBAWUG4M4A5XQTSS-1
132,"I poured the water from the cup to the pot to make the flower grow, and as I poured, the _ became lighter.",cup,pot,3TC2K6WK9IGAPTAPDJ4FM8VIR2Z82S-1
133,"I poured the water from the cup to the pot to make the flower grow, and as I poured, the _ became heavier.",cup,pot,3TC2K6WK9IGAPTAPDJ4FM8VIR2Z82S-2
134,"The shoe store had two big sellers, sneakers and pumps, but because it was track season, the _ were selling out slowly.",sneakers,pumps,30EV7DWJTX9DM0K8DPECBY0X2AC6Y9-2
135,"The shoe store had two big sellers, sneakers and pumps, but since it was track season, the _ were selling out faster.",sneakers,pumps,30EV7DWJTX9DM0K8DPECBY0X2AC6Y9-1
136,"Unlike the shy Amy, Monica was an extrovert,  so _ dreaded attending the big party.",Amy,Monica,3LVTFB9DE7W6ARISYS64A3AJV6LQGT-1
137,"Unlike the shy Amy, Monica was an extrovert,  so _ looked forward to attending the big party.",Amy,Monica,3LVTFB9DE7W6ARISYS64A3AJV6LQGT-2
141,"They had invested in a large curtain that would drop onto the stage, but it didn’t work out because the _ was too low.",curtain,stage,3YLPJ8OXXARA78QKP5ZVVM9923LX4U-2
142,"They had invested in a large curtain that would drop onto the stage, but it didn’t work out because the _ was too short.",curtain,stage,3YLPJ8OXXARA78QKP5ZVVM9923LX4U-1
143,Badminton was a lot easier for Josh than tennis because the _ court was smaller.,badminton,tennis,3HEADTGN2R6P4PNN02UQFUNZFDKRV8-1
144,Badminton was a lot easier for Josh than tennis because the _ court was larger.,badminton,tennis,3HEADTGN2R6P4PNN02UQFUNZFDKRV8-2
145,"When deciding which calendar to buy, Samuel chose a small one for Craig, because that is what _ knows he prefers.",Samuel,Craig,33P2GD6NRP6YZKF85T4PZHABB0KKH8-1
146,"When deciding which calendar to buy, Samuel chose a large one for Craig, despite what _ said he prefers.",Samuel,Craig,33P2GD6NRP6YZKF85T4PZHABB0KKH8-2
149,James ran out of makeup when making up his face. He never knew the _ was so small.,face,makeup,3OREP8RUT4PJ6LG3FA9EFEFK90NGBY-2
150,James ran out of makeup when making up his face. He never knew the _ is so large.,face,makeup,3OREP8RUT4PJ6LG3FA9EFEFK90NGBY-1
153,The dog wanted to stay in the park and not go back to the house because the _ was too small.,house,park,3MD8CKRQZ11GDUNTJDG7C6C5KB5JRD-1
154,Laura had an easier time than Lindsey moving from their home because _ had a bigger house.,Laura,Lindsey,3TFJJUELSJ3C1W02UVKKOUR1H8TC25-2
155,Laura had an easier time than Lindsey moving from their home because _ had a smaller house.,Laura,Lindsey,3TFJJUELSJ3C1W02UVKKOUR1H8TC25-1
158,The woman's lips were smaller than her cheeks because there was botox in the _ .,lips,cheeks,3ROUCZ907H8RHSMA7YR8Q7OM8VDOO0-2
159,The woman's lips were bigger than her cheeks because there was botox in the _ .,lips,cheeks,3ROUCZ907H8RHSMA7YR8Q7OM8VDOO0-1
162,Randy but not Kevin needed a larger wedding venue because _ had lots of friends and family.,Randy,Kevin,3CRWSLD91K2ON02RAK0V65B8JG7OML-1
163,Randy but not Kevin needed a larger wedding venue because  _ did not have lots of friends and family.,Randy,Kevin,3CRWSLD91K2ON02RAK0V65B8JG7OML-2
164,The woman wanted to throw the party at her friend's house but the _ was too small.,party,house,3ZG552ORAM2T6G7V1E3PMORIEIYV2B-2
165,The pan does not get hot fast enough when placed over the flame because the _ is too high.,flame,pan,3DZKABX2ZKJLYNY4I54VQZOCEWHCVO-2
166,The pan does not get hot fast enough when placed over the flame because the _ is too low.,flame,pan,3DZKABX2ZKJLYNY4I54VQZOCEWHCVO-1
167,the grade one could not tackle the divisibility of the number because the _ was too small.,divisibility,grade,35YHTYFL1G1D7AJ7P9IW67L7NNZFVD-2
168,the grade one could not tackle the divisibility of the number because the _ was too big.,divisibility,grade,35YHTYFL1G1D7AJ7P9IW67L7NNZFVD-1
171,Monica was a big fan of art but Rachel was a sports fan. _ bought a ticket to the football game.,Monica,Rachel,3IWA71V4TKUOMVUY8TSASKTNYRL6XC-2
172,Monica was a big fan of art but Rachel was a sports fan. _ bought a ticket to the museum.,Monica,Rachel,3IWA71V4TKUOMVUY8TSASKTNYRL6XC-1
173,Brian was overweight but Nick wasn't overweight because _ ate a large amount of calories.,Brian,Nick,3VADEH0UHCV96VRX9H9W7EF4LDJPSJ-1
174,Brian was overweight but Nick wasn't overweight because _ ate a small amount of calories.,Brian,Nick,3VADEH0UHCV96VRX9H9W7EF4LDJPSJ-2
177,"Kenny wanted to marry Paulie in the cathedral but Paulie was scared of large places, so their marriage ceremony took place in a cave instead since the _ was vast.",cathedral,cave,37PGLWGSJT4J1QRLRDAA7VNINIGIKJ-1
178,"Kenny wanted to marry Paulie in the cathedral but Paulie was scared of large places, so their marriage ceremony took place in a cave instead since the _ was small.",cathedral,cave,37PGLWGSJT4J1QRLRDAA7VNINIGIKJ-2
181,The flower placed on the window had started to block the sun ray because the _ is small.,flower,window,3TZDZ3Y0JUK3EDB3Z7AFHLGPLMV19T-2
182,The flower placed on the window had started to block the sun ray because the _ is big.,flower,window,3TZDZ3Y0JUK3EDB3Z7AFHLGPLMV19T-1
185,The tree in Monicas yard was a lot bigger than that of Lindsey because _ had an older tree.,Monica,Lindsey,31ANT7FQN80GNCVYE8OJ5U3LQH5H57-1
186,The tree in Monicas yard was a lot smaller than that of Lindsey because _ had an older tree.,Monica,Lindsey,31ANT7FQN80GNCVYE8OJ5U3LQH5H57-2
187,"Katrina is being bullied and asks Patricia for her protection, because _ is thin and small.",Katrina,Patricia,3NOEP8XAU6GWW1C3NPRJYKK4T09PX7-1
188,Rose was looking for a useful stocking stuffer so she picked a small book rather than a wallet because the _ was somewhat educational.,book,wallet,391JB9X4ZY65X9HCCS82ZOUZ4R0KM1-1
189,Rose was looking for a useful stocking stuffer so she picked a small book rather than a wallet because the _ was not educational.,book,wallet,391JB9X4ZY65X9HCCS82ZOUZ4R0KM1-2
192,"At art class in school, Craig asked William for glue because the glue _ had was full.",Craig,William,3IV1AEQ4DRBV109Q06Y7TRTR50UJ82-2
193,"At art class in school, Craig asked William for glue because the glue _ had was empty.",Craig,William,3IV1AEQ4DRBV109Q06Y7TRTR50UJ82-1
194,"Cynthia skipped breakfast but Angela ate a large morning meal, so _ was starving by lunchtime.",Cynthia,Angela,3VQTAXTYN3JNHEIRFHMVRVS3UM1BUD-1
195,"Cynthia skipped breakfast but Angela ate a large morning meal, so _ was still full by lunchtime.",Cynthia,Angela,3VQTAXTYN3JNHEIRFHMVRVS3UM1BUD-2
196,Kayla was the owner of a small business but Samantha was not so _ was able to apply for a job at the business.,Kayla,Samantha,37J05LC5AXH7IV5HHE9NFJ7SB77DJ9-2
197,Kayla was the owner of a small business but Samantha was not so _ was able to hire for a job at the business.,Kayla,Samantha,37J05LC5AXH7IV5HHE9NFJ7SB77DJ9-1
199,Jill couldn't fix her hair up properly. The bobble would not go round the ponytail because the _ was too small.,bobble,ponytail,3S1WOPCJFI7R4QIOX7W7DZDL4U1EJU-1
200,"They wanted more satiation at the wedding, so the planners used icing rather than fruit on the cake as the _ was more empty.",icing,fruit,3JYPJ2TAYKMFWFLINVLXSDKYQZIPFW-2
203,Mary had an easier time cleaning LEGOs than Patricia because _  didn't enjoy cleaning small pieces.,Mary,Patricia,3S4TINXCC0LS49YUJVAMSP0E7LSOBT-2
204,Mary had an easier time cleaning LEGOs than Patricia because _ enjoyed cleaning small pieces.,Mary,Patricia,3S4TINXCC0LS49YUJVAMSP0E7LSOBT-1
207,Victoria needed to prepare Samantha for the big news but _ couldn't be found outside.,Victoria,Samantha,3VQTAXTYN5Z2B3HYZFYVJTGBIOQBUD-2
208,Victoria needed to prepare Samantha for the big news but _ forgot what it was.,Victoria,Samantha,3VQTAXTYN5Z2B3HYZFYVJTGBIOQBUD-1
